,xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y,lon,lat,cumsum
21531,66563,Emmentalstrasse 67,3510,Konolfingen,BE,1989-12-11,5.76,20.88,maincat_2,subcat_2,plantcat_8,2614730.0,1192653.0,7.631890366784947,46.88483318040504,20.88
79461,141215,Sägematte 4,3510,Freimettigen,BE,1992-05-01,3.0,10.03,maincat_2,subcat_2,plantcat_9,2614139.0,1191130.0,7.624089485716377,46.87114618428997,30.909999999999997
960,18811,Buchwaldstrasse 1,3510,Konolfingen,BE,2009-07-24,8.5,8.5,maincat_2,subcat_2,plantcat_9,2614164.0,1192594.0,7.624462681102333,46.884314707895875,39.41
2324,19942,Dornacker 27,3510,Konolfingen,BE,2010-03-17,13.3,13.3,maincat_2,subcat_2,plantcat_8,2612074.0,1191907.0,7.5970242446997505,46.87817601103358,52.709999999999994
3627,24465,Stockhornstrasse 8,3510,Konolfingen,BE,2010-04-08,3.9,3.9,maincat_2,subcat_2,plantcat_8,2613457.0,1191782.0,7.615163144857192,46.877025182550184,56.60999999999999
6205,29975,Oberdorfstrasse 15,3510,Konolfingen,BE,2010-06-01,9.7,9.7,maincat_2,subcat_2,plantcat_8,2614587.0,1193192.0,7.630031399947445,46.88968475462494,66.30999999999999
1089,26507,Ursellen 40,3510,Konolfingen,BE,2010-06-11,9.5,9.5,maincat_2,subcat_2,plantcat_8,2612505.0,1192029.0,7.6026815518590345,46.879265507461824,75.80999999999999
6246,30420,Haslistrasse 3,3510,Freimettigen,BE,2010-09-21,8.1,8.1,maincat_2,subcat_2,plantcat_9,2614518.0,1190544.0,7.62904208537251,46.86586682716027,83.90999999999998
7643,36645,Katzengässli 21,3510,Konolfingen,BE,2011-05-13,3.92,3.92,maincat_2,subcat_2,plantcat_8,2614495.0,1191357.0,7.62876616317818,46.87318047717403,87.82999999999998
8320,40926,Schlossgutstrasse 7,3510,Konolfingen,BE,2011-06-27,5.76,5.76,maincat_2,subcat_2,plantcat_9,2614142.0,1191228.0,7.624131861099166,46.87202765659809,93.58999999999999
9098,43156,Schlossgutstrasse 5,3510,Konolfingen,BE,2011-10-01,4.0,4.0,maincat_2,subcat_2,plantcat_9,2614149.0,1191225.0,7.6242235858174165,46.87200052255679,97.58999999999999
10193,47969,Katzengässli 27,3510,Konolfingen,BE,2011-10-13,3.92,3.92,maincat_2,subcat_2,plantcat_8,2614513.0,1191383.0,7.629003094026868,46.87341396298902,101.50999999999999
9439,44216,Stockhornstrasse 12,3510,Konolfingen,BE,2011-12-01,14.6,14.6,maincat_2,subcat_2,plantcat_9,2613545.0,1191733.0,7.616316079231762,46.87658263632965,116.10999999999999
12046,49580,Vennerweg 3,3510,Konolfingen,BE,2011-12-05,7.2,7.2,maincat_2,subcat_2,plantcat_8,2614012.0,1191554.0,7.622436653761704,46.87496285165674,123.30999999999999
11664,49126,Winkelmattstrasse 6,3510,Konolfingen,BE,2011-12-09,9.12,9.12,maincat_2,subcat_2,plantcat_8,2614543.0,1192910.0,7.629445112168933,46.88714905724985,132.42999999999998
5359,17560,Libellenweg 11,3510,Konolfingen,BE,2011-12-16,11.4,11.4,maincat_2,subcat_2,plantcat_8,2614114.0,1191811.0,7.623782557688433,46.877272485102665,143.82999999999998
5358,17561,Libellenweg 13,3510,Konolfingen,BE,2011-12-16,13.8,13.8,maincat_2,subcat_2,plantcat_8,2614124.0,1191849.0,7.623914910176691,46.87761409340212,157.63
5357,17578,Libellenweg 15,3510,Konolfingen,BE,2011-12-16,13.8,13.8,maincat_2,subcat_2,plantcat_8,2614135.0,1191886.0,7.624060351696656,46.87794668511106,171.43
3891,24567,Alpenstrasse 8,3510,Konolfingen,BE,2011-12-22,8.8,8.8,maincat_2,subcat_2,plantcat_9,2614478.0,1192864.0,7.628590827405255,46.88673668888749,180.23000000000002
12358,50120,Mooshausstrasse 10,3510,Konolfingen,BE,2012-02-10,11.27,11.27,maincat_2,subcat_2,plantcat_8,2614201.0,1192470.0,7.62494426626335,46.88319851146746,191.50000000000003
13831,52507,Hünigenstrasse 13,3510,Konolfingen,BE,2012-02-24,8.19,18.39,maincat_2,subcat_2,plantcat_8,2614100.0,1191999.0,7.623604693504102,46.87896388870791,209.89000000000004
